run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0018_upper,18,1,9.0,9.4907,9.4907,Al_depleted,12.716,2,0.8382,0.2559,0.0686,0.35,0.3255,0.15,83535,MURCHISON,metabasalt,upper,55.9108,1.0119,12.8673,10.8879,9.4907,9.757,0.0746
p0018_lower,18,1,9.0,9.4907,9.4907,Al_depleted,12.716,2,0.8382,0.2559,0.0686,0.35,0.3255,0.15,83535,MURCHISON,metabasalt,lower,49.1637,0.2975,12.1265,7.0612,18.1826,12.4295,0.739
p0019_upper,19,1,9.0,8.5391,8.5391,Al_depleted,12.225,3,0.8182,0.2202,0.0567,0.35,0.373,0.15,81583,MURCHISON,komatiite,upper,56.7827,1.1053,13.513,11.2717,8.5391,8.5066,0.2817
p0019_lower,19,1,9.0,8.5391,8.5391,Al_depleted,12.225,3,0.8182,0.2202,0.0567,0.35,0.373,0.15,81583,MURCHISON,komatiite,lower,49.3977,0.3113,13.5364,6.9256,16.0798,12.8862,0.8631
p0020_upper,20,1,9.0,9.5991,9.5991,Al_depleted,10.584,4,0.8362,0.26,0.07,0.35,0.32,0.15,83449,MURCHISON,metabasalt,upper,53.4672,1.0527,11.1416,11.1694,9.5991,13.4971,0.073
p0020_lower,20,1,9.0,9.5991,9.5991,Al_depleted,10.584,4,0.8362,0.26,0.07,0.35,0.32,0.15,83449,MURCHISON,metabasalt,lower,48.7708,0.3036,11.7177,7.2009,18.361,12.9179,0.7281
p0021_upper,21,1,9.0,8.1837,8.1837,Al_depleted,10.303,5,0.7856,0.2069,0.0523,0.35,0.3908,0.15,180219,East Pilbara Terrane,Basalt,upper,54.0132,1.0864,11.1932,13.2666,8.1837,8.4558,3.8012
p0021_lower,21,1,9.0,8.1837,8.1837,Al_depleted,10.303,5,0.7856,0.2069,0.0523,0.35,0.3908,0.15,180219,East Pilbara Terrane,Basalt,lower,48.9542,0.3084,13.6782,7.5045,15.0088,13.1193,1.4265
p0022_upper,22,1,9.0,8.5427,8.5427,Al_depleted,7.888,6,0.7941,0.2204,0.0568,0.35,0.3729,0.15,81440,MURCHISON,komatiite,upper,51.5074,1.6855,13.2956,13.1597,8.5427,11.6206,0.1884
p0022_lower,22,1,9.0,8.5427,8.5427,Al_depleted,7.888,6,0.7941,0.2204,0.0568,0.35,0.3729,0.15,81440,MURCHISON,komatiite,lower,48.5313,0.3985,13.4987,7.6024,15.769,13.3516,0.8487
p0023_upper,23,1,9.0,8.5797,8.5797,Al_depleted,12.606,7,0.8293,0.2217,0.0572,0.35,0.371,0.15,83454,MURCHISON,metabasalt,upper,55.6028,0.9717,12.2494,10.4918,8.5797,12.0426,0.062
p0023_lower,23,1,9.0,8.5797,8.5797,Al_depleted,12.606,7,0.8293,0.2217,0.0572,0.35,0.371,0.15,83454,MURCHISON,metabasalt,lower,49.2474,0.2912,13.2905,6.6493,16.3056,13.3899,0.8261
p0024_upper,24,1,9.0,8.7857,8.7857,Al_undepleted,20.308,0,0.8755,0.2295,0.0598,0.35,0.3607,0.15,207626,MURCHISON,pyroxene spinifex-textured basalt,upper,59.5674,0.6939,14.0912,7.4251,8.7857,7.8889,1.5479
p0024_lower,24,1,9.0,8.7857,8.7857,Al_undepleted,20.308,0,0.8755,0.2295,0.0598,0.35,0.3607,0.15,207626,MURCHISON,pyroxene spinifex-textured basalt,lower,49.9582,0.2495,13.283,5.4968,17.3569,12.6264,1.0292
