run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0082_lower_tl05,82,5,17.0,17.5501,17.5501,Al_depleted,6.977,2,0.8706,0.6275,0.15,0.1919,0.0306,0.05,207666,MURCHISON,komatiite,lower,45.4756,0.1438,2.1302,10.1884,36.8499,5.0833,0.1288
p0083_lower_tl05,83,5,17.0,17.4815,17.4815,Al_depleted,10.2,3,0.8925,0.6241,0.15,0.1944,0.0315,0.05,83459,MURCHISON,metabasalt,lower,45.8366,0.1403,2.2698,8.8108,37.7094,5.1001,0.133
p0084_lower_tl05,84,5,17.0,16.0548,16.0548,Al_depleted,10.482,4,0.8741,0.5527,0.15,0.2479,0.0493,0.05,83472,MURCHISON,metabasalt,lower,46.3523,0.165,3.0265,9.3266,34.469,6.4755,0.1851
p0085_lower_tl05,85,5,17.0,17.4815,17.4815,Al_depleted,10.2,5,0.8925,0.6241,0.15,0.1944,0.0315,0.05,83459,MURCHISON,metabasalt,lower,45.8366,0.1403,2.2698,8.8108,37.7094,5.1001,0.133
p0086_lower_tl05,86,5,17.0,17.5501,17.5501,Al_depleted,6.977,6,0.8706,0.6275,0.15,0.1919,0.0306,0.05,207666,MURCHISON,komatiite,lower,45.4756,0.1438,2.1302,10.1884,36.8499,5.0833,0.1288
p0087_lower_tl05,87,5,17.0,17.4815,17.4815,Al_depleted,10.2,7,0.8925,0.6241,0.15,0.1944,0.0315,0.05,83459,MURCHISON,metabasalt,lower,45.8366,0.1403,2.2698,8.8108,37.7094,5.1001,0.133
p0088_lower_tl05,88,5,17.0,16.447,16.447,Al_undepleted,18.5,0,0.8946,0.5724,0.15,0.2332,0.0444,0.05,211009,Kalgoorlie,basalt,lower,46.2828,0.1385,2.8034,8.3399,35.9698,6.2717,0.1938
p0089_lower_tl05,89,5,17.0,16.0878,16.0878,Al_undepleted,26.023,1,0.9027,0.5544,0.15,0.2467,0.0489,0.05,204561,Kalgoorlie,meta-ultramafic rock,lower,46.5212,0.1435,3.1422,7.771,35.6596,6.495,0.2674
p0090_lower_tl05,90,5,17.0,16.8195,16.8195,Al_undepleted,19.83,2,0.8958,0.591,0.15,0.2193,0.0398,0.05,91976,Kalgoorlie,Komatiitic basalt,lower,46.1053,0.1328,2.6524,8.3908,36.6825,5.7329,0.3033
p0091_lower_tl05,91,5,17.0,17.4442,17.4442,Al_undepleted,16.276,3,0.8973,0.6222,0.15,0.1958,0.0319,0.05,207511,SOUTHERN CROSS,komatiitic basalt,lower,45.8052,0.1292,2.354,8.5058,37.8561,5.216,0.1337
p0092_lower_tl05,92,5,17.0,17.2404,17.2404,Al_undepleted,22.209,4,0.8918,0.612,0.15,0.2035,0.0345,0.05,91863,Kalgoorlie,Komatiitic basalt,lower,45.9192,0.1245,2.4611,8.7724,37.2523,5.3223,0.1484
p0093_lower_tl05,93,5,17.0,17.2941,17.2941,Al_undepleted,24.634,5,0.8869,0.6147,0.15,0.2015,0.0338,0.05,91968,Kalgoorlie,Komatiitic basalt,lower,45.7881,0.1226,2.464,9.0861,37.1327,5.2522,0.1542
p0094_lower_tl05,94,5,17.0,16.447,16.447,Al_undepleted,18.5,6,0.8946,0.5724,0.15,0.2332,0.0444,0.05,211009,Kalgoorlie,basalt,lower,46.2828,0.1385,2.8034,8.3399,35.9698,6.2717,0.1938
p0095_lower_tl05,95,5,17.0,17.4442,17.4442,Al_undepleted,16.276,7,0.8973,0.6222,0.15,0.1958,0.0319,0.05,207511,SOUTHERN CROSS,komatiitic basalt,lower,45.8052,0.1292,2.354,8.5058,37.8561,5.216,0.1337
p0000_lower_tl30,0,0,7.0,7.5304,7.5304,Al_depleted,11.289,0,0.8281,0.2,0.05,0.35,0.4,0.3,174432,East Pilbara Terrane,Basalt,lower,51.7388,0.4042,13.2998,6.7073,13.774,12.6481,1.4277
p0001_lower_tl30,1,0,7.0,6.9706,6.9706,Al_depleted,12.134,1,0.7723,0.2,0.05,0.35,0.4,0.3,83219,MURCHISON,metabasalt,lower,49.6207,0.4759,14.41,8.2585,13.059,13.4122,0.7636
p0002_lower_tl30,2,0,7.0,6.2934,6.2934,Al_depleted,12.028,2,0.7535,0.2,0.05,0.35,0.4,0.3,210917,Kalgoorlie,basalt,lower,49.9678,0.4526,14.0915,8.4842,12.6771,12.9201,1.4068
p0003_lower_tl30,3,0,7.0,6.6428,6.6428,Al_depleted,13.759,3,0.7465,0.2,0.05,0.35,0.4,0.3,182253,Kalgoorlie,metabasalt,lower,48.4016,0.4666,14.8607,8.918,12.7159,13.4908,1.1466
p0004_lower_tl30,4,0,7.0,6.2675,6.2675,Al_depleted,13.14,4,0.7593,0.2,0.05,0.35,0.4,0.3,176767,East Pilbara Terrane,Basalt,lower,49.8437,0.4192,14.0244,8.288,12.7242,13.1709,1.5295
p0005_lower_tl30,5,0,7.0,7.3497,7.3497,Al_depleted,11.657,5,0.7699,0.2,0.05,0.35,0.4,0.3,176791,East Pilbara Terrane,Basalt,lower,50.1237,0.4726,14.2014,8.5392,13.1499,12.3175,1.1958
p0006_lower_tl30,6,0,7.0,6.9241,6.9241,Al_depleted,12.577,6,0.7413,0.2,0.05,0.35,0.4,0.3,214409,MURCHISON,amphibolite,lower,48.5708,0.4703,14.4981,9.2628,12.7522,13.4517,0.9941
p0007_lower_tl30,7,0,7.0,7.2743,7.2743,Al_depleted,11.57,7,0.7788,0.2,0.05,0.35,0.4,0.3,81747,MURCHISON,metabasalt,lower,49.7405,0.5021,14.5126,8.2015,13.2125,13.08,0.7507
p0008_lower_tl30,8,0,7.0,7.4629,7.4629,Al_undepleted,16.881,0,0.7998,0.2,0.05,0.35,0.4,0.3,81314,MURCHISON,amphibolite,lower,49.689,0.381,14.5004,7.5966,13.4732,13.6095,0.7502
p0009_lower_tl30,9,0,7.0,7.3653,7.3653,Al_undepleted,38.323,1,0.8771,0.2,0.05,0.35,0.4,0.3,182395,SOUTHERN CROSS,amphibolite derived from volcanic rock,lower,51.8038,0.2348,14.5065,5.1423,14.2259,13.3524,0.7343
p0010_lower_tl30,10,0,7.0,7.4388,7.4388,Al_undepleted,21.493,2,0.8108,0.2,0.05,0.35,0.4,0.3,177354,Kalgoorlie,basalt,lower,49.1185,0.3435,14.9013,7.2288,13.5738,13.5686,1.2654
p0011_lower_tl30,11,0,7.0,6.8441,6.8441,Al_undepleted,25.875,3,0.8249,0.2,0.05,0.35,0.4,0.3,81609,MURCHISON,komatiite,lower,50.6911,0.2961,14.6544,6.5506,13.5355,13.5091,0.7633
p0012_lower_tl30,12,0,7.0,7.7622,7.7622,Al_undepleted,19.293,4,0.8066,0.2,0.05,0.35,0.4,0.3,211015,Kalgoorlie,basalt,lower,49.0508,0.3545,14.6203,7.5025,13.6298,13.7469,1.0952
p0013_lower_tl30,13,0,7.0,7.9945,7.9945,Al_undepleted,18.581,5,0.8059,0.2,0.05,0.35,0.4,0.3,81667,MURCHISON,metabasalt,lower,49.7403,0.3527,14.4188,7.6262,13.6926,13.3811,0.7884
p0014_lower_tl30,14,0,7.0,7.8565,7.8565,Al_undepleted,19.528,6,0.8115,0.2,0.05,0.35,0.4,0.3,100131,Kalgoorlie,basalt,lower,48.5229,0.3457,14.5028,7.3775,13.7068,14.5168,1.0276
p0015_lower_tl30,15,0,7.0,7.4363,7.4363,Al_undepleted,18.054,7,0.8004,0.2,0.05,0.35,0.4,0.3,179890,East Pilbara Terrane,Basalt,lower,50.2399,0.3568,14.3692,7.5659,13.4709,12.8853,1.1119
p0064_lower_tl30,64,4,15.0,14.3665,14.3665,Al_depleted,14.196,0,0.8949,0.4683,0.1296,0.2908,0.1113,0.3,180220,East Pilbara Terrane,Komatiitic basalt,lower,49.165,0.3097,6.3389,8.1026,26.8554,8.0485,1.1798
